name,score,release_date,region,platform,genres,themes,publishers
missile command,4.0,1999,Europe,Game Boy,shooter,,
missile command,4.0,1999,North America,Mobile,shooter,,
microsoft flight simulator 2000,8.7,1999,North America,PC,simulation,,
nba inside drive 2000,7.0,2000,North America,PC,sports,,
shellshock,4.6,1995,Europe,Commodore 64,simulation,,
shellshock,4.6,1995,North America,Commodore 64,simulation,,
shellshock,4.6,1995,North America,PC,simulation,,
shellshock,4.6,1995,Japan,PlayStation,simulation,,
shellshock,4.6,1995,Europe,PlayStation,simulation,,
shellshock,4.6,1995,North America,PlayStation,simulation,,
shellshock,4.6,1995,Japan,Saturn,simulation,,
shellshock,4.6,1995,North America,Saturn,simulation,,
shellshock,4.6,1995,Europe,Saturn,simulation,,
warhawk,8.5,2007,Europe,Commodore 64,simulation,sci-fi,
warhawk,8.5,2007,North America,Commodore 64,simulation,sci-fi,
warhawk,8.5,2007,Europe,Amstrad CPC,simulation,sci-fi,
warhawk,8.5,2007,Europe,Atari 8-bit,simulation,sci-fi,
warhawk,8.5,2007,Europe,Atari ST,simulation,sci-fi,
warhawk,8.5,2007,Japan,PlayStation 3,simulation,sci-fi,
warhawk,8.5,2007,North America,PlayStation 3,simulation,sci-fi,
warhawk,8.5,2007,Australia,PlayStation 3,simulation,sci-fi,
warhawk,8.5,2007,Europe,PlayStation 3,simulation,sci-fi,
warhawk,8.5,2007,Korea,PlayStation 3,simulation,sci-fi,
warhawk,8.5,2007,Asia,PlayStation 3,simulation,sci-fi,
gulf war: operation desert hammer,5.1,1999,North America,PC,simulation,,
shadow man,5.0,1999,North America,PC,adventure,horror,acclaim
shadow man,5.0,1999,Europe,PC,adventure,horror,acclaim
shadow man,5.0,1999,North America,Dreamcast,adventure,horror,acclaim
shadow man,5.0,1999,Europe,Dreamcast,adventure,horror,acclaim
shadow man,5.0,1999,North America,Nintendo 64,adventure,horror,acclaim
shadow man,5.0,1999,Europe,Nintendo 64,adventure,horror,acclaim
shadow man,5.0,1999,North America,PlayStation,adventure,horror,acclaim
shadow man,5.0,1999,Europe,PlayStation,adventure,horror,acclaim
shadow man,5.0,1999,North America,Macintosh,adventure,horror,acclaim
shadow man,5.0,1999,South America,Nintendo 64,adventure,horror,acclaim
shadow man,5.0,1999,Japan,PC,adventure,horror,acclaim
system shock 2,8.5,1999,North America,PC,adventure,sci-fi,electronic arts
system shock 2,8.5,1999,Australia,PC,adventure,sci-fi,electronic arts
system shock 2,8.5,1999,Europe,PC,adventure,sci-fi,electronic arts
system shock 2,8.5,1999,North America,Macintosh,adventure,sci-fi,electronic arts
system shock 2,8.5,1999,North America,Dreamcast,adventure,sci-fi,electronic arts
system shock 2,8.5,1999,North America,Linux,adventure,sci-fi,electronic arts
darkstone,8.6,1999,North America,PlayStation,role-playing,,electronic arts
darkstone,8.6,1999,North America,PC,role-playing,,electronic arts
darkstone,8.6,1999,North America,iOS (iPhone/iPad),role-playing,,electronic arts
darkstone,8.6,1999,North America,Android,role-playing,,electronic arts
tomb raider: the last revelation,7.4,1999,North America,PlayStation,adventure,modern,capcom
tomb raider: the last revelation,7.4,1999,Europe,PlayStation,adventure,modern,capcom
tomb raider: the last revelation,7.4,1999,North America,PC,adventure,modern,capcom
tomb raider: the last revelation,7.4,1999,Europe,PC,adventure,modern,capcom
tomb raider: the last revelation,7.4,1999,North America,Dreamcast,adventure,modern,capcom
tomb raider: the last revelation,7.4,1999,Europe,Dreamcast,adventure,modern,capcom
tomb raider: the last revelation,7.4,1999,North America,Macintosh,adventure,modern,capcom
grand theft auto 2,6.8,1999,Australia,PlayStation,adventure,modern,
grand theft auto 2,6.8,1999,North America,PlayStation,adventure,modern,
grand theft auto 2,6.8,1999,North America,PC,adventure,modern,
grand theft auto 2,6.8,1999,Europe,PC,adventure,modern,
grand theft auto 2,6.8,1999,Europe,Dreamcast,adventure,modern,
grand theft auto 2,6.8,1999,North America,Dreamcast,adventure,modern,
grand theft auto 2,6.8,1999,Europe,Game Boy Color,adventure,modern,
grand theft auto 2,6.8,1999,North America,Game Boy Color,adventure,modern,
abomination,6.5,1999,North America,PC,strategy,sci-fi,
planescape: torment,9.0,1999,North America,PC,role-playing,,sega
